name,lat,lng,icon,iconColor,popup,
中部小学校,35.785278,139.895478,school,yellow,<h2>学校名：中部小学校</h2><h3>住所：松戸市松戸2062</h3>電話：047-363-4191<br>1<br>,
東部小学校,35.768184,139.931036,school,white,<h2>学校名：東部小学校</h2><h3>住所：松戸市高塚新田382の1</h3>電話：047-391-2971<br><br>,
北部小学校,35.792088,139.902371,school,red,<h2>学校名：北部小学校</h2><h3>住所：松戸市根本217</h3>電話：047-363-5251<br>3<br>,
相模台小学校,35.781206,139.904627,school,red,<h2>学校名：相模台小学校</h2><h3>住所：松戸市岩瀬434の2</h3>電話：047-363-4245<br>2<br>,
南部小学校,35.774734,139.894043,school,red,<h2>学校名：南部小学校</h2><h3>住所：松戸市小山148</h3>電話：047-363-5171<br>2<br>,
矢切小学校,35.762949,139.897293,school,red,<h2>学校名：矢切小学校</h2><h3>住所：松戸市中矢切540</h3>電話：047-363-6288<br>3<br>,
高木小学校,35.80739,139.94402,school,white,<h2>学校名：高木小学校</h2><h3>住所：松戸市金ケ作120</h3>電話：047-387-5103<br><br>,
高木第二小学校,35.795017,139.979698,school,white,<h2>学校名：高木第二小学校</h2><h3>住所：松戸市五香4丁目18の1</h3>電話：047-387-2191<br><br>,
馬橋小学校,35.81606,139.914509,school,yellow,<h2>学校名：馬橋小学校</h2><h3>住所：松戸市西馬橋1丁目12の1</h3>電話：047-341-1218<br>1<br>,
小金小学校,35.829142,139.930038,school,red,<h2>学校名：小金小学校</h2><h3>住所：松戸市小金355</h3>電話：047-341-0450<br>2<br>,
常盤平第一小学校,35.797968,139.949672,school,white,<h2>学校名：常盤平第一小学校</h2><h3>住所：松戸市常盤平7丁目1</h3>電話：047-387-2397<br><br>,
常盤平第二小学校,35.799788,139.957203,school,white,<h2>学校名：常盤平第二小学校</h2><h3>住所：松戸市常盤平4丁目18</h3>電話：047-386-1331<br><br>,
稔台小学校,35.783672,139.933191,school,white,<h2>学校名：稔台小学校</h2><h3>住所：松戸市稔台2丁目36の1</h3>電話：047-364-4129<br><br>,
常盤平第三小学校,35.796368,139.942815,school,yellow,<h2>学校名：常盤平第三小学校</h2><h3>住所：松戸市常盤平西窪町25の1</h3>電話：047-387-4605<br>1<br>,
上本郷小学校,35.798862,139.918092,school,red,<h2>学校名：上本郷小学校</h2><h3>住所：松戸市上本郷3620</h3>電話：047-363-9278<br>3<br>,
小金北小学校,35.838599,139.923779,school,white,<h2>学校名：小金北小学校</h2><h3>住所：松戸市殿平賀270</h3>電話：047-343-1263<br><br>,
根木内小学校,35.823669,139.945427,school,white,<h2>学校名：根木内小学校</h2><h3>住所：松戸市小金原2丁目3</h3>電話：047-341-2641<br><br>,
栗ケ沢小学校,35.815437,139.948536,school,yellow,<h2>学校名：栗ケ沢小学校</h2><h3>住所：松戸市小金原7丁目16</h3>電話：047-341-2640<br>1<br>,
松飛台小学校,35.787068,139.962085,school,yellow,<h2>学校名：松飛台小学校</h2><h3>住所：松戸市五香西4丁目22の1</h3>電話：047-387-0494<br>1<br>,
松ケ丘小学校,35.785923,139.915491,school,red,<h2>学校名：松ケ丘小学校</h2><h3>住所：松戸市松戸新田159</h3>電話：047-361-2238<br>4<br>,
柿ノ木台小学校,35.771365,139.904359,school,white,<h2>学校名：柿ノ木台小学校</h2><h3>住所：松戸市二十世紀が丘柿の木町111</h3>電話：047-365-7661<br><br>,
古ケ崎小学校,35.806917,139.898769,school,yellow,<h2>学校名：古ケ崎小学校</h2><h3>住所：松戸市古ケ崎4丁目3620の1</h3>電話：047-364-5118<br>1<br>,
六実小学校,35.797836,139.993132,school,white,<h2>学校名：六実小学校</h2><h3>住所：松戸市六高台4丁目131</h3>電話：047-387-9391<br><br>,
八ケ崎小学校,35.808531,139.930766,school,white,<h2>学校名：八ケ崎小学校</h2><h3>住所：松戸市八ケ崎6丁目53の1</h3>電話：047-342-1094<br><br>,
梨香台小学校,35.756886,139.933339,school,white,<h2>学校名：梨香台小学校</h2><h3>住所：松戸市高塚新田512の13</h3>電話：047-391-4311<br><br>,
寒風台小学校,35.795147,139.926352,school,yellow,<h2>学校名：寒風台小学校</h2><h3>住所：松戸市松戸新田316の25</h3>電話：047-363-1048<br>1<br>,
河原塚小学校,35.783898,139.938728,school,white,<h2>学校名：河原塚小学校</h2><h3>住所：松戸市河原塚47の1</h3>電話：047-392-5100<br><br>,
和名ケ谷小学校,35.778167,139.923639,school,white,<h2>学校名：和名ケ谷小学校</h2><h3>住所：松戸市和名ケ谷1085</h3>電話：047-391-2401<br><br>,
旭町小学校,35.814374,139.901392,school,white,<h2>学校名：旭町小学校</h2><h3>住所：松戸市旭町1丁目20の2</h3>電話：047-345-1177<br><br>,
牧野原小学校,35.792257,139.951598,school,white,<h2>学校名：牧野原小学校</h2><h3>住所：松戸市牧の原435の1</h3>電話：047-385-0996<br><br>,
貝の花小学校,35.814062,139.941266,school,white,<h2>学校名：貝の花小学校</h2><h3>住所：松戸市小金原8丁目10</h3>電話：047-344-8611<br><br>,
金ケ作小学校,35.804212,139.962132,school,white,<h2>学校名：金ケ作小学校</h2><h3>住所：松戸市金ケ作317</h3>電話：047-385-8886<br><br>,
馬橋北小学校,35.821785,139.911865,school,yellow,<h2>学校名：馬橋北小学校</h2><h3>住所：松戸市新松戸南2丁目1</h3>電話：047-344-8586<br>1<br>,
殿平賀小学校,35.837538,139.926106,school,yellow,<h2>学校名：殿平賀小学校</h2><h3>住所：松戸市殿平賀339の1</h3>電話：047-344-8621<br>1<br>,
横須賀小学校,35.83305,139.910069,school,white,<h2>学校名：横須賀小学校</h2><h3>住所：松戸市新松戸北2丁目13の1</h3>電話：047-344-4040<br><br>,
八ケ崎第二小学校,35.815566,139.935147,school,white,<h2>学校名：八ケ崎第二小学校</h2><h3>住所：松戸市八ケ崎3丁目3の1</h3>電話：047-344-7437<br><br>,
六実第二小学校,35.790603,139.993891,school,white,<h2>学校名：六実第二小学校</h2><h3>住所：松戸市六実2丁目34の1</h3>電話：047-384-3011<br><br>,
新松戸南小学校,35.824022,139.906158,school,white,<h2>学校名：新松戸南小学校</h2><h3>住所：松戸市新松戸6丁目301</h3>電話：047-343-3275<br><br>,
